,CodigoDaCidade,Cidade,Data,Região,País,Latitude,Longitude,TemperaturaMáxima,TemperaturaMínima,TemperaturaMédia,VaiChover,ChanceDeChuva,CondicaoDoTempoDia,CondicaoDoTempoNoite,NascerDoSol,PorDoSol,VelocidadeMaximaDoVento
0,3502507,Aparecida,2022-05-09,Sudeste,Brazil,,,27.8 °C,22.8 °C,25.3 °C,Sim,77.5,Tempestades,Uma tempestade em partes da região,05:33,,5.8 mi/h
1,3502507,Aparecida,2022-05-10,Sudeste,Brazil,,,26.7 °C,22.8 °C,24.7 °C,Sim,56.0,Uma tempestade em partes da região,Uma tempestade em partes da região,05:33,,4.6 mi/h
2,3502507,Aparecida,2022-05-11,Sudeste,Brazil,,,31.1 °C,23.3 °C,27.2 °C,Sim,34.0,Uma tempestade em partes da região,Nuvens baixas,05:32,,8.1 mi/h
3,3502507,Aparecida,2022-05-12,Sudeste,Brazil,,,30.0 °C,23.3 °C,26.7 °C,Sim,54.5,Algumas pancadas de chuva e tempestades,Uma tempestade em partes da região,05:32,,9.2 mi/h
4,3502507,Aparecida,2022-05-13,Sudeste,Brazil,,,28.9 °C,23.3 °C,26.1 °C,Sim,34.5,Uma tempestade localizada,Nuvens baixas,05:31,,10.4 mi/h
5,3503158,Arapeí,2022-05-09,Sudeste,Brazil,,,31.7 °C,25.0 °C,28.3 °C,Sim,90.0,Uma tempestade em partes da região,Pancadas de chuva e tempestades,05:29,,2.3 mi/h
6,3503158,Arapeí,2022-05-10,Sudeste,Brazil,,,27.8 °C,24.4 °C,26.1 °C,Sim,91.0,Uma tempestade em partes da região,Algumas pancadas de chuva e tempestades,05:29,,1.2 mi/h
7,3503158,Arapeí,2022-05-11,Sudeste,Brazil,,,31.1 °C,24.4 °C,27.8 °C,Sim,72.5,Uma tempestade em partes da região,Chuvas ocasionais e uma tempestade,05:28,,4.6 mi/h
8,3503158,Arapeí,2022-05-12,Sudeste,Brazil,,,30.6 °C,25.0 °C,27.8 °C,Sim,53.5,Nublado,Uma tempestade localizada,05:28,,4.6 mi/h
9,3503158,Arapeí,2022-05-13,Sudeste,Brazil,,,30.6 °C,24.4 °C,27.5 °C,Sim,54.5,Uma tempestade localizada,Chuvas ocasionais e uma tempestade,05:27,,6.9 mi/h
10,3503505,Areias,2022-05-09,Sudeste,Brazil,,,29.4 °C,23.9 °C,26.7 °C,Sim,76.0,Algumas pancadas de chuva e tempestades,Nublado,05:44,,3.5 mi/h
11,3503505,Areias,2022-05-10,Sudeste,Brazil,,,29.4 °C,24.4 °C,26.9 °C,Sim,42.0,Uma tempestade em partes da região,Uma tempestade em partes da região,05:43,,6.9 mi/h
12,3503505,Areias,2022-05-11,Sudeste,Brazil,,,28.3 °C,24.4 °C,26.4 °C,Sim,65.5,Uma tempestade em partes da região,Uma tempestade em partes da região,05:43,,6.9 mi/h
13,3503505,Areias,2022-05-12,Sudeste,Brazil,,,30.0 °C,24.4 °C,27.2 °C,Sim,85.0,Algumas pancadas de chuva e tempestades,Uma tempestade localizada,05:42,,5.8 mi/h
14,3503505,Areias,2022-05-13,Sudeste,Brazil,,,31.1 °C,24.4 °C,27.8 °C,Sim,91.0,Algumas tempestades,Chuva e uma tempestade,05:42,,5.8 mi/h
15,3504909,Bananal,2022-05-09,Sudeste,Brazil,,,29.4 °C,23.9 °C,26.7 °C,Sim,95.0,Tempestades,Pancadas de chuva e tempestades,05:34,,5.8 mi/h
16,3504909,Bananal,2022-05-10,Sudeste,Brazil,,,27.8 °C,23.3 °C,25.6 °C,Sim,61.0,Uma tempestade em partes da região,Algumas tempestades,05:34,,2.3 mi/h
17,3504909,Bananal,2022-05-11,Sudeste,Brazil,,,32.2 °C,24.4 °C,28.3 °C,Sim,53.5,Uma tempestade em partes da região,Algumas tempestades,05:33,,5.8 mi/h
18,3504909,Bananal,2022-05-12,Sudeste,Brazil,,,30.6 °C,24.4 °C,27.5 °C,Sim,40.0,Uma tempestade em partes da região,Uma tempestade em partes da região,05:33,,5.8 mi/h
19,3504909,Bananal,2022-05-13,Sudeste,Brazil,,,30.6 °C,24.4 °C,27.5 °C,Sim,47.5,Uma tempestade localizada,Uma tempestade em partes da região,05:32,,6.9 mi/h
20,3508504,Caçapava,2022-05-09,Sudeste,Brazil,,,28.9 °C,21.7 °C,25.3 °C,Sim,99.5,Tempestades,Algumas tempestades,05:30,,2.3 mi/h
21,3508504,Caçapava,2022-05-10,Sudeste,Brazil,,,27.2 °C,22.8 °C,25.0 °C,Sim,53.5,Uma tempestade em partes da região,Uma tempestade em partes da região,05:29,,2.3 mi/h
22,3508504,Caçapava,2022-05-11,Sudeste,Brazil,,,30.0 °C,22.8 °C,26.4 °C,Sim,51.5,Uma tempestade em partes da região,Uma tempestade em partes da região,05:29,,6.9 mi/h
23,3508504,Caçapava,2022-05-12,Sudeste,Brazil,,,28.9 °C,23.9 °C,26.4 °C,Sim,46.5,Algumas tempestades,Aumento de nebulosidade,05:28,,6.9 mi/h
24,3508504,Caçapava,2022-05-13,Sudeste,Brazil,,,27.8 °C,23.9 °C,25.8 °C,Sim,75.0,Uma tempestade localizada,Chuvas ocasionais e uma tempestade,05:28,,6.9 mi/h
25,3508603,Cachoeira Paulista,2022-05-09,Sudeste,Brazil,,,32.8 °C,25.0 °C,28.9 °C,Sim,92.0,Algumas tempestades,Uma tempestade em partes da região,05:32,,4.6 mi/h
26,3508603,Cachoeira Paulista,2022-05-10,Sudeste,Brazil,,,30.0 °C,25.0 °C,27.5 °C,Sim,80.0,Algumas pancadas de chuva,Algumas pancadas de chuva e tempestades,05:31,,5.8 mi/h
27,3508603,Cachoeira Paulista,2022-05-11,Sudeste,Brazil,,,31.7 °C,25.0 °C,28.3 °C,Sim,73.5,Algumas pancadas de chuva e tempestades,Uma tempestade em partes da região,05:31,,5.8 mi/h
28,3508603,Cachoeira Paulista,2022-05-12,Sudeste,Brazil,,,28.9 °C,25.0 °C,26.9 °C,Sim,84.0,Algumas pancadas de chuva e tempestades,Uma tempestade localizada,05:31,,4.6 mi/h
29,3508603,Cachoeira Paulista,2022-05-13,Sudeste,Brazil,,,27.8 °C,25.0 °C,26.4 °C,Sim,81.5,Algumas tempestades,Algumas tempestades,05:30,,4.6 mi/h
30,3509700,Campos do Jordão,2022-05-09,Sudeste,Brazil,,,23.3 °C,12.2 °C,17.8 °C,Não,2.5,Mais quente,Nublado,05:50,,5.8 mi/h
31,3509700,Campos do Jordão,2022-05-10,Sudeste,Brazil,,,23.9 °C,11.7 °C,17.8 °C,Sim,49.5,Uma pancada de chuva,Predominantemente nublado,05:48,,12.7 mi/h
32,3509700,Campos do Jordão,2022-05-11,Sudeste,Brazil,,,21.1 °C,11.1 °C,16.1 °C,Sim,77.0,Uma pancada de chuva,Pancadas de chuva,05:47,,11.5 mi/h
33,3509700,Campos do Jordão,2022-05-12,Sudeste,Brazil,,,18.9 °C,9.4 °C,14.2 °C,Não,15.0,Predominantemente nublado,Predominantemente nublado,05:45,,10.4 mi/h
34,3509700,Campos do Jordão,2022-05-13,Sudeste,Brazil,,,18.9 °C,9.4 °C,14.2 °C,Sim,40.0,Algumas pancadas de chuva,Parcial a predominantemente nublado,05:43,,13.8 mi/h
35,3509957,Canas,2022-05-09,Sudeste,Brazil,,,21.1 °C,14.4 °C,17.8 °C,Não,8.5,Aumento de nebulosidade,Nublado,05:56,,8.0 mi/h
36,3509957,Canas,2022-05-10,Sudeste,Brazil,,,17.2 °C,11.7 °C,14.4 °C,Sim,46.0,Uma pancada de chuva,Predominantemente nublado,05:55,,18.0 mi/h
37,3509957,Canas,2022-05-11,Sudeste,Brazil,,,14.4 °C,11.7 °C,13.1 °C,Sim,71.5,Uma pancada de chuva,Algumas pancadas de chuva,05:53,,18.4 mi/h
38,3509957,Canas,2022-05-12,Sudeste,Brazil,,,14.4 °C,12.2 °C,13.3 °C,Não,4.5,Predominantemente nublado,Predominantemente nublado,05:51,,15.0 mi/h
39,3509957,Canas,2022-05-13,Sudeste,Brazil,,,15.0 °C,10.0 °C,12.5 °C,Sim,40.5,Algumas pancadas de chuva,Parcial a predominantemente nublado,05:50,,21.9 mi/h
40,3510500,Caraguatatuba,2022-05-09,Sudeste,Brazil,,,22.8 °C,14.4 °C,18.6 °C,Não,7.0,Aumento de nebulosidade,Nublado,05:59,,5.8 mi/h
41,3510500,Caraguatatuba,2022-05-10,Sudeste,Brazil,,,19.4 °C,11.7 °C,15.6 °C,Sim,46.5,Uma pancada de chuva,Predominantemente nublado,05:57,,12.7 mi/h
42,3510500,Caraguatatuba,2022-05-11,Sudeste,Brazil,,,17.2 °C,11.1 °C,14.2 °C,Sim,73.5,Uma pancada de chuva,Algumas pancadas de chuva,05:56,,10.4 mi/h
43,3510500,Caraguatatuba,2022-05-12,Sudeste,Brazil,,,16.1 °C,11.7 °C,13.9 °C,Não,4.0,Predominantemente nublado,Parcialmente nublado,05:54,,10.4 mi/h
44,3510500,Caraguatatuba,2022-05-13,Sudeste,Brazil,,,16.7 °C,10.0 °C,13.3 °C,Sim,39.5,Algumas pancadas de chuva,Predominantemente claro,05:52,,13.8 mi/h
45,3513405,Cruzeiro,2022-05-09,Sudeste,Brazil,,,17.8 °C,8.9 °C,13.3 °C,Sim,80.5,Períodos de chuva,Períodos de chuva,05:43,,16.1 mi/h
46,3513405,Cruzeiro,2022-05-10,Sudeste,Brazil,,,16.1 °C,7.8 °C,11.9 °C,Sim,80.0,Algumas pancadas de chuva rápidas,Uma pancada de chuva passageira,05:42,,15.0 mi/h
47,3513405,Cruzeiro,2022-05-11,Sudeste,Brazil,,,16.1 °C,5.6 °C,10.8 °C,Sim,46.0,Uma pancada de chuva,Predominantemente nublado,05:40,,10.4 mi/h
48,3513405,Cruzeiro,2022-05-12,Sudeste,Brazil,,,15.0 °C,10.0 °C,12.5 °C,Sim,61.5,Predominantemente nublado,Nublado,05:38,,12.7 mi/h
49,3513405,Cruzeiro,2022-05-13,Sudeste,Brazil,,,16.1 °C,7.8 °C,11.9 °C,Sim,44.0,Algumas pancadas de chuva,Predominantemente nublado,05:36,,10.4 mi/h
50,3513603,Cunha,2022-05-09,Sudeste,Brazil,,,15.6 °C,8.9 °C,12.2 °C,Sim,86.0,Períodos de chuva,Chuvas escassas,05:43,,15.0 mi/h
51,3513603,Cunha,2022-05-10,Sudeste,Brazil,,,13.3 °C,7.8 °C,10.6 °C,Sim,82.0,Algumas pancadas de chuva,Chuvas escassas,05:41,,15.0 mi/h
52,3513603,Cunha,2022-05-11,Sudeste,Brazil,,,12.8 °C,6.1 °C,9.4 °C,Sim,52.5,Uma pancada de chuva,Nublado,05:39,,10.4 mi/h
53,3513603,Cunha,2022-05-12,Sudeste,Brazil,,,12.8 °C,9.4 °C,11.1 °C,Sim,64.5,Chuvas escassas,Nublado,05:37,,12.7 mi/h
54,3513603,Cunha,2022-05-13,Sudeste,Brazil,,,13.9 °C,7.8 °C,10.8 °C,Sim,46.0,Algumas pancadas de chuva,Predominantemente nublado,05:35,,5.8 mi/h
55,3518404,Guaratinguetá,2022-05-09,Sudeste,Brazil,,,16.1 °C,8.3 °C,12.2 °C,Sim,61.5,Mais frio,Uma pancada de chuva,05:47,,20.7 mi/h
56,3518404,Guaratinguetá,2022-05-10,Sudeste,Brazil,,,16.7 °C,8.9 °C,12.8 °C,Sim,61.0,Possibilidade de pancada de chuva,Uma pancada de chuva,05:45,,12.7 mi/h
57,3518404,Guaratinguetá,2022-05-11,Sudeste,Brazil,,,15.6 °C,6.1 °C,10.8 °C,Sim,34.0,Algumas pancadas de chuva rápidas,Predominantemente nublado,05:44,,10.4 mi/h
58,3518404,Guaratinguetá,2022-05-12,Sudeste,Brazil,,,16.1 °C,9.4 °C,12.8 °C,Sim,53.5,Predominantemente nublado,Nublado,05:42,,11.5 mi/h
59,3518404,Guaratinguetá,2022-05-13,Sudeste,Brazil,,,17.8 °C,7.8 °C,12.8 °C,Sim,43.5,Algumas pancadas de chuva,Parcial a predominantemente nublado,05:40,,10.4 mi/h
60,3520202,Igaratá,2022-05-09,Sudeste,Brazil,,,13.3 °C,9.4 °C,11.4 °C,Sim,88.5,Pancadas de chuva,Chuvas escassas,05:51,,19.6 mi/h
61,3520202,Igaratá,2022-05-10,Sudeste,Brazil,,,15.0 °C,8.9 °C,11.9 °C,Sim,62.0,Possibilidade de pancada de chuva,Uma pancada de chuva,05:50,,17.3 mi/h
62,3520202,Igaratá,2022-05-11,Sudeste,Brazil,,,14.4 °C,6.7 °C,10.6 °C,Sim,31.0,Algumas pancadas de chuva rápidas,Predominantemente nublado,05:48,,10.4 mi/h
